NDVI_JUN, NDVI_JUL, NDVI_AUG, NDVI_SEP, NDVI_OCT, NDVI_NOV
0.290124, 0.364375, 0.439538, 0.667309, 0.61869, 0.486671
0.227063, 0.43022, 0.44766, 0.520686, 0.353782, 0.374893
0.452009, 0.300963, 0.57765, 0.71998, 0.693618, 0.611989
0.21718, 0.195055, 0.557238, 0.647537, 0.478896, 0.394288
0.217587, 0.233009, 0.472224, 0.685632, 0.572413, 0.496145
0.203755, 0.311098, 0.452651, 0.422784, 0.326269, 0.394517
0.265717, 0.264502, 0.365105, 0.556305, 0.40669, 0.423743
0.183975, 0.231632, 0.520302, 0.678051, 0.627347, 0.520302
0.244934, 0.401075, 0.552589, 0.543925, 0.416842, 0.394156
0.274893, 0.269193, 0.527653, 0.689502, 0.588599, 0.505584
0.2563, 0.344451, 0.535456, 0.580969, 0.456571, 0.422845
0.245874, 0.489347, 0.543861, 0.469812, 0.337858, 0.324239
0.251028, 0.292889, 0.564962, 0.580133, 0.479421, 0.499012
0.215719, 0.239231, 0.54287, 0.603393, 0.441362, 0.434239
0.324558, 0.285716, 0.521759, 0.661578, 0.660811, 0.567648
0.239244, 0.357111, 0.452075, 0.585687, 0.400104, 0.353723
0.250259, 0.446505, 0.518004, 0.539052, 0.401501, 0.344368
0.171207, 0.269245, 0.550565, 0.563222, 0.477357, 0.488381
0.258667, 0.249485, 0.44897, 0.617032, 0.518582, 0.489769
0.22115, 0.245724, 0.500097, 0.526224, 0.395912, 0.462804
0.304334, 0.315435, 0.483292, 0.625714, 0.541423, 0.491493
0.243305, 0.228976, 0.504583, 0.65275, 0.504955, 0.435544
0.326705, 0.356075, 0.466148, 0.645612, 0.527904, 0.446927
0.366824, 0.250429, 0.492812, 0.67295, 0.633623, 0.550658
0.206412, 0.261475, 0.528749, 0.442603, 0.357883, 0.44933
0.207597, 0.42202, 0.584106, 0.470403, 0.343471, 0.360299
0.354198, 0.251156, 0.508024, 0.633947, 0.561563, 0.52266
0.249017, 0.316393, 0.537976, 0.483905, 0.389298, 0.423445
0.262837, 0.383953, 0.55767, 0.578885, 0.486043, 0.441254
0.274309, 0.306309, 0.493073, 0.638635, 0.512852, 0.465274
0.244419, 0.273913, 0.53627, 0.547723, 0.37986, 0.402026
0.224934, 0.236881, 0.521252, 0.54596, 0.41181, 0.44658
0.245915, 0.380115, 0.535094, 0.633477, 0.538305, 0.411534
0.247245, 0.330948, 0.492206, 0.581193, 0.435565, 0.434319
0.247636, 0.372339, 0.514992, 0.590849, 0.511201, 0.425809
0.225054, 0.265815, 0.466783, 0.547816, 0.434773, 0.470019
