Domain,Area,Element,Item,Year,Unit,Value
Crops,Shivpuri,Yield,Soybean,2016,hg/ha,10000
Crops,Sidhi,Yield,Soybean,2016,hg/ha,"5896,55"
Crops,Tikamgarh,Yield,Soybean,2016,hg/ha,"8820,96"
Crops,Ujjain,Yield,Soybean,2016,hg/ha,"16266,67"
Crops,Umaria,Yield,Soybean,2016,hg/ha,"6288,66"
Crops,Vidisha,Yield,Soybean,2016,hg/ha,"5436,24"
Crops,Anuppur,Yield,Soybean,2017,hg/ha,"7736,84"
Crops,Ashoknagar,Yield,Soybean,2017,hg/ha,"10299,72"
Crops,Balaghat,Yield,Soybean,2017,hg/ha,10000
Crops,Barwani,Yield,Soybean,2017,hg/ha,14000
Crops,Betul,Yield,Soybean,2017,hg/ha,"13350,22"
Crops,Bhind,Yield,Soybean,2017,hg/ha,20000
Crops,Bhopal,Yield,Soybean,2017,hg/ha,"9821,43"
Crops,Burhanpur,Yield,Soybean,2017,hg/ha,16720
Crops,Chhatarpur,Yield,Soybean,2017,hg/ha,"8470,78"
Crops,Chhindwara,Yield,Soybean,2017,hg/ha,"17839,29"
Crops,Damoh,Yield,Soybean,2017,hg/ha,"13500,75"
Crops,Datia,Yield,Soybean,2017,hg/ha,"8537,31"
Crops,Dewas,Yield,Soybean,2017,hg/ha,"10200,09"
Crops,Dhar,Yield,Soybean,2017,hg/ha,"12909,85"
Crops,Dindori,Yield,Soybean,2017,hg/ha,"11505,26"
Crops,Guna,Yield,Soybean,2017,hg/ha,"8249,86"
Crops,Gwalior,Yield,Soybean,2017,hg/ha,"15411,76"
Crops,Harda,Yield,Soybean,2017,hg/ha,"7519,97"
Crops,Hoshangabad,Yield,Soybean,2017,hg/ha,"6149,04"
Crops,Indore,Yield,Soybean,2017,hg/ha,"9149,84"
Crops,Jabalpur,Yield,Soybean,2017,hg/ha,"4771,43"
Crops,Jhabua,Yield,Soybean,2017,hg/ha,"14300,31"
Crops,Katni,Yield,Soybean,2017,hg/ha,"14352,94"
Crops,Mandla,Yield,Soybean,2017,hg/ha,"1333,33"
Crops,Mandsaur,Yield,Soybean,2017,hg/ha,"11280,16"
Crops,Morena,Yield,Soybean,2017,hg/ha,"16647,06"
Crops,Narsinghpur,Yield,Soybean,2017,hg/ha,"3131,03"
Crops,Neemuch,Yield,Soybean,2017,hg/ha,"13359,7"
Crops,Panna,Yield,Soybean,2017,hg/ha,"11028,57"
Crops,Raisen,Yield,Soybean,2017,hg/ha,"6100,35"
Crops,Rajgarh,Yield,Soybean,2017,hg/ha,"12449,9"
Crops,Ratlam,Yield,Soybean,2017,hg/ha,"18230,24"
Crops,Rewa,Yield,Soybean,2017,hg/ha,"9141,18"
Crops,Sagar,Yield,Soybean,2017,hg/ha,"5880,2"
Crops,Satna,Yield,Soybean,2017,hg/ha,"5819,4"
Crops,Sehore,Yield,Soybean,2017,hg/ha,8260
Crops,Seoni,Yield,Soybean,2017,hg/ha,"880,65"
Crops,Shahdol,Yield,Soybean,2017,hg/ha,"2191,3"
Crops,Shajapur,Yield,Soybean,2017,hg/ha,"10240,07"
Crops,Sheopur,Yield,Soybean,2017,hg/ha,"7880,52"
Crops,Shivpuri,Yield,Soybean,2017,hg/ha,"7820,57"
Crops,Sidhi,Yield,Soybean,2017,hg/ha,"7476,19"
Crops,Tikamgarh,Yield,Soybean,2017,hg/ha,"5740,43"
Crops,Ujjain,Yield,Soybean,2017,hg/ha,"10469,9"
Crops,Umaria,Yield,Soybean,2017,hg/ha,"7285,71"
Crops,Vidisha,Yield,Soybean,2017,hg/ha,"13550,17"
Crops,Anuppur,Yield,Soybean,2018,hg/ha,"7018,77"
Crops,Ashoknagar,Yield,Soybean,2018,hg/ha,"14909,99"
Crops,Balaghat,Yield,Soybean,2018,hg/ha,10000
Crops,Barwani,Yield,Soybean,2018,hg/ha,"11519,88"
Crops,Betul,Yield,Soybean,2018,hg/ha,"6410,03"
Crops,Bhind,Yield,Soybean,2018,hg/ha,"7619,05"
Crops,Bhopal,Yield,Soybean,2018,hg/ha,"6819,98"
Crops,Burhanpur,Yield,Soybean,2018,hg/ha,"11279,82"
Crops,Chhatarpur,Yield,Soybean,2018,hg/ha,"13159,77"
Crops,Chhindwara,Yield,Soybean,2018,hg/ha,"9039,51"
Crops,Damoh,Yield,Soybean,2018,hg/ha,"9279,86"
Crops,Datia,Yield,Soybean,2018,hg/ha,"7671,84"
Crops,Dewas,Yield,Soybean,2018,hg/ha,"12300,01"
Crops,Dhar,Yield,Soybean,2018,hg/ha,"14850,02"
Crops,Dindori,Yield,Soybean,2018,hg/ha,"8020,5"
Crops,Guna,Yield,Soybean,2018,hg/ha,"10970,01"
Crops,Gwalior,Yield,Soybean,2018,hg/ha,"11657,71"
Crops,Harda,Yield,Soybean,2018,hg/ha,"9859,98"
Crops,Hoshangabad,Yield,Soybean,2018,hg/ha,10320
Crops,Indore,Yield,Soybean,2018,hg/ha,"14910,02"
Crops,Jabalpur,Yield,Soybean,2018,hg/ha,"9090,91"
Crops,Jhabua,Yield,Soybean,2018,hg/ha,"8559,98"
Crops,Katni,Yield,Soybean,2018,hg/ha,11875
Crops,Mandla,Yield,Soybean,2018,hg/ha,"10769,23"
Crops,Mandsaur,Yield,Soybean,2018,hg/ha,8750
Crops,Morena,Yield,Soybean,2018,hg/ha,"11590,04"
Crops,Narsinghpur,Yield,Soybean,2018,hg/ha,"7569,76"
Crops,Neemuch,Yield,Soybean,2018,hg/ha,"8360,01"
Crops,Panna,Yield,Soybean,2018,hg/ha,"9236,64"
Crops,Raisen,Yield,Soybean,2018,hg/ha,"4529,95"
Crops,Rajgarh,Yield,Soybean,2018,hg/ha,"9349,99"
Crops,Ratlam,Yield,Soybean,2018,hg/ha,"9600,01"
Crops,Rewa,Yield,Soybean,2018,hg/ha,"7518,21"
Crops,Sagar,Yield,Soybean,2018,hg/ha,"10150,02"
Crops,Satna,Yield,Soybean,2018,hg/ha,"4020,2"
Crops,Sehore,Yield,Soybean,2018,hg/ha,11660
Crops,Seoni,Yield,Soybean,2018,hg/ha,"9204,04"
Crops,Shahdol,Yield,Soybean,2018,hg/ha,"6319,17"
